Plot,Row,Column,Species,CONDITION,F21Health,F21Ht,F22Health,F22Ht,GROWTH
GQ10_1,9,16,TIAM,o,L,58,D,,-58
GQ10_2,15,9,TIAM,c,L,26,D,,-26
GQ3_1,16,15,TIAM,c,L,25,D,,-25
GQ2_1,18,10,TIAM,c,L,24,D,,-24
GQ10_2,5,15,TIAM,o,L,22.5,D,,-22.5
GQ10_2,13,13,TIAM,c,V,22,D,,-22
GQ3_1,5,16,TIAM,o,L,21,D,,-21
GQ3_1,17,13,TIAM,c,L,19,D,,-19
GQ3_1,6,16,TIAM,o,L,19,D,,-19
GQ2_1,14,9,TIAM,o,V,17,D,,-17
GQ3_1,16,12,TIAM,c,L,13,D,,-13
GQ8_2,15,11,TIAM,o,L,6,D,,-6
GQ3_1,10,1,TIAM,o,,,D,,0
GQ2_1,9,5,TIAM,o,,,D,,0
GQ10_1,9,7,TIAM,o,L,22,L,9,0
GQ10_2,11,4,TIAM,o,L,29.3,L,17,0
GQ3_1,10,13,TIAM,o,L,21,L,11,0
GQ3_1,8,13,TIAM,o,L,25,L,16,0
GQ3_2,13,16,TIAM,c,L,30,L,22,0
GQ8_2,13,1,TIAM,o,L,48.5,L,41,0
GQ10_2,4,13,TIAM,o,L,41,L,34,0
GQ3_1,15,4,TIAM,c,L,23,L,16,0
GQ3_2,5,16,TIAM,o,L,33.5,L,27,0
GQ8_2,16,5,TIAM,o,L,44,L,39,0
GQ3_1,11,5,TIAM,c,L,38,L,34,0
GQ2_2,8,1,TIAM,o,L,19,L,15,0
GQ2_1,14,11,TIAM,o,L,18,L,15,0
GQ8_2,4,13,TIAM,o,L,23,L,21,0
GQ8_1,7,9,TIAM,o,L,33,L,31,0
GQ10_2,17,9,TIAM,o,L,28,L,27,0
GQ3_1,9,4,TIAM,c,L,29,L,28,0
GQ8_2,7,5,TIAM,o,L,33.5,L,33,0
GQ8_1,5,16,TIAM,c,L,30.1,L,30,0
GQ3_2,10,10,TIAM,c,L,28,L,28,0
GQ3_1,11,2,TIAM,o,L,20,L,20,0
GQ2_1,12,17,TIAM,o,L,21,L,21,0
GQ8_1,10,17,TIAM,o,V,30,L,30,0
GQ2_2,2,17,TIAM,o,L,29.5,L,30,0.5
GQ10_2,6,15,TIAM,c,L,30,L,31,1
GQ3_2,13,6,TIAM,c,L,17,L,18,1
GQ3_2,12,9,TIAM,o,L,21,L,22,1
GQ2_2,6,2,TIAM,c,L,23,L,24,1
GQ2_2,13,15,TIAM,c,L,29,L,30,1
GQ8_1,10,3,TIAM,o,L,20,L,21.5,1.5
GQ8_1,12,1,TIAM,c,L,30,L,32,2
GQ8_1,8,2,TIAM,o,L,35,L,37,2
GQ8_1,11,11,TIAM,c,L,23,L,25,2
GQ3_2,12,17,TIAM,o,L,27,L,29,2
GQ3_1,8,5,TIAM,o,L,16,L,18,2
GQ3_1,13,13,TIAM,c,L,26,L,28,2
GQ2_1,3,6,TIAM,c,L,24,L,26,2
GQ2_2,2,3,TIAM,c,L,22,L,24,2
GQ2_2,9,19,TIAM,o,L,33.5,L,36,2.5
GQ10_2,4,7,TIAM,c,L,23.2,L,26,2.8
GQ10_2,2,9,TIAM,c,L,27,L,30,3
GQ10_2,7,1,TIAM,o,L,27,L,30,3
GQ8_1,9,4,TIAM,o,L,21,L,24,3
GQ8_1,10,7,TIAM,c,L,22,L,25,3
GQ3_2,8,10,TIAM,c,L,23,L,26,3
GQ10_1,6,10,TIAM,o,V,26,L,29,3
GQ8_1,5,4,TIAM,o,L,29.5,L,33,3.5
GQ3_2,4,13,TIAM,c,L,22.1,L,26,3.9
GQ10_1,14,5,TIAM,c,L,26,L,30,4
GQ10_1,14,7,TIAM,o,L,18,L,22,4
GQ10_2,11,5,TIAM,o,L,38,L,42,4
GQ8_2,14,17,TIAM,o,L,25,L,29,4
GQ3_1,12,2,TIAM,o,L,27,L,31,4
GQ3_1,14,12,TIAM,o,L,16,L,20,4
GQ2_1,2,10,TIAM,o,L,20,L,24,4
GQ10_1,8,4,TIAM,o,L,29.5,L,34,4.5
GQ2_1,18,7,TIAM,c,L,17,L,21.5,4.5
GQ10_2,12,6,TIAM,o,L,30,L,35,5
GQ8_1,9,8,TIAM,o,L,31,L,36,5
GQ8_1,3,8,TIAM,o,L,30,L,35,5
GQ8_1,9,18,TIAM,c,L,25,L,30,5
GQ3_1,14,5,TIAM,o,L,22,L,27,5
GQ2_1,8,1,TIAM,c,L,26,L,31,5
GQ2_2,3,2,TIAM,o,L,29,L,34,5
GQ2_2,8,5,TIAM,o,L,25,L,30,5
GQ2_2,3,7,TIAM,o,L,26,L,31,5
GQ10_2,10,18,TIAM,o,V,16,L,21,5
GQ2_1,11,8,TIAM,o,L,19.8,L,25,5.2
GQ10_1,5,10,TIAM,o,L,14.5,L,20,5.5
GQ8_1,16,4,TIAM,o,L,29.5,L,35,5.5
GQ2_2,11,19,TIAM,c,L,30.5,L,36,5.5
GQ10_1,14,9,TIAM,c,V,19.5,L,25,5.5
GQ2_2,12,17,TIAM,c,V,27.5,L,33,5.5
GQ2_2,3,17,TIAM,c,L,32.4,L,38,5.6
GQ10_1,3,8,TIAM,o,L,29,L,35,6
GQ10_2,7,10,TIAM,c,L,17,L,23,6
GQ3_1,9,1,TIAM,c,L,27,L,33,6
GQ3_1,18,8,TIAM,c,L,27,L,33,6
GQ2_1,6,4,TIAM,o,L,25,L,31,6
GQ2_1,12,10,TIAM,o,L,15,L,21,6
GQ3_2,1,12,TIAM,c,L,19.8,L,26,6.2
GQ8_1,8,18,TIAM,c,L,29.7,L,36,6.3
GQ10_1,7,3,TIAM,c,L,28.5,L,35,6.5
GQ2_2,10,9,TIAM,c,L,24.5,L,31,6.5
GQ3_2,7,13,TIAM,o,L,21.4,L,28,6.6
GQ10_2,6,3,TIAM,o,L,49,L,56,7
GQ8_2,7,3,TIAM,o,L,26,L,33,7
GQ8_1,7,6,TIAM,c,L,29,L,36,7
GQ8_1,5,13,TIAM,o,L,34,L,41,7
GQ3_1,12,1,TIAM,o,L,35,L,42,7
GQ3_1,5,4,TIAM,c,L,20,L,27,7
GQ10_1,10,6,TIAM,o,V,13,L,20,7
GQ10_1,11,10,TIAM,c,V,24.5,L,32,7.5
GQ10_2,11,7,TIAM,c,L,34,L,42,8
GQ10_2,17,6,TIAM,c,L,29,L,37,8
GQ8_2,5,6,TIAM,c,L,33,L,41,8
GQ3_1,13,1,TIAM,c,L,24,L,32,8
GQ3_1,4,13,TIAM,c,L,23,L,31,8
GQ2_1,15,16,TIAM,o,L,5,L,13,8
GQ2_2,9,3,TIAM,o,L,12,L,20,8
GQ3_1,16,1,TIAM,o,V,8,L,16,8
GQ3_2,8,1,TIAM,c,L,29.8,L,38,8.2
GQ8_2,6,4,TIAM,o,L,16,L,24.5,8.5
GQ10_1,11,12,TIAM,c,L,21,L,30,9
GQ10_2,4,5,TIAM,c,L,29,L,38,9
GQ10_2,16,5,TIAM,o,L,33,L,42,9
GQ8_1,15,3,TIAM,o,L,29,L,38,9
GQ8_1,11,4,TIAM,o,L,29,L,38,9
