Date_Time,Date,Time,Temp,Plot
9/25/21 0:00,9/25/21,12:00:00 AM,8.85,Plot 1
9/25/21 0:30,9/25/21,12:30:00 AM,8.35,Plot 1
9/25/21 1:00,9/25/21,1:00:00 AM,7.85,Plot 1
9/25/21 1:30,9/25/21,1:30:00 AM,7.6,Plot 1
9/25/21 2:00,9/25/21,2:00:00 AM,7.1,Plot 1
9/25/21 2:30,9/25/21,2:30:00 AM,6.6,Plot 1
9/25/21 3:00,9/25/21,3:00:00 AM,6.6,Plot 1
9/25/21 3:30,9/25/21,3:30:00 AM,5.85,Plot 1
9/25/21 4:00,9/25/21,4:00:00 AM,5.85,Plot 1
9/25/21 4:30,9/25/21,4:30:00 AM,6.35,Plot 1
9/25/21 5:00,9/25/21,5:00:00 AM,6.35,Plot 1
9/25/21 5:30,9/25/21,5:30:00 AM,5.6,Plot 1
9/25/21 6:00,9/25/21,6:00:00 AM,5.35,Plot 1
9/25/21 6:30,9/25/21,6:30:00 AM,5.35,Plot 1
9/25/21 7:00,9/25/21,7:00:00 AM,5.1,Plot 1
9/25/21 7:30,9/25/21,7:30:00 AM,5.1,Plot 1
9/25/21 8:00,9/25/21,8:00:00 AM,5.85,Plot 1
9/25/21 8:30,9/25/21,8:30:00 AM,6.85,Plot 1
9/25/21 9:00,9/25/21,9:00:00 AM,8.1,Plot 1
9/25/21 9:30,9/25/21,9:30:00 AM,9.1,Plot 1
9/25/21 10:00,9/25/21,10:00:00 AM,10.1,Plot 1
9/25/21 10:30,9/25/21,10:30:00 AM,11.85,Plot 1
9/25/21 11:00,9/25/21,11:00:00 AM,13.6,Plot 1
9/25/21 11:30,9/25/21,11:30:00 AM,14.1,Plot 1
9/25/21 12:00,9/25/21,12:00:00 PM,15.35,Plot 1
9/25/21 12:30,9/25/21,12:30:00 PM,15.35,Plot 1
9/25/21 13:00,9/25/21,1:00:00 PM,16.35,Plot 1
9/25/21 13:30,9/25/21,1:30:00 PM,16.1,Plot 1
9/25/21 14:00,9/25/21,2:00:00 PM,16.6,Plot 1
9/25/21 14:30,9/25/21,2:30:00 PM,17.35,Plot 1
9/25/21 15:00,9/25/21,3:00:00 PM,16.85,Plot 1
9/25/21 15:30,9/25/21,3:30:00 PM,18.35,Plot 1
9/25/21 16:00,9/25/21,4:00:00 PM,16.6,Plot 1
9/25/21 16:30,9/25/21,4:30:00 PM,16.35,Plot 1
9/25/21 17:00,9/25/21,5:00:00 PM,15.6,Plot 1
9/25/21 17:30,9/25/21,5:30:00 PM,15.35,Plot 1
9/25/21 18:00,9/25/21,6:00:00 PM,14.85,Plot 1
9/25/21 18:30,9/25/21,6:30:00 PM,14.6,Plot 1
9/25/21 19:00,9/25/21,7:00:00 PM,13.6,Plot 1
9/25/21 19:30,9/25/21,7:30:00 PM,13.35,Plot 1
9/25/21 20:00,9/25/21,8:00:00 PM,12.6,Plot 1
9/25/21 20:30,9/25/21,8:30:00 PM,12.1,Plot 1
9/25/21 21:00,9/25/21,9:00:00 PM,11.35,Plot 1
9/25/21 21:30,9/25/21,9:30:00 PM,10.6,Plot 1
