Unit,PlotID,Block,Treatment,Plot,Tree Number,Species,DBH21,DBH22
1,1-T-1,1,T,1,3204,ABBA,10.6,10.6
1,1-T-1,1,T,1,3205,ABBA,10.3,10.5
1,1-T-1,1,T,1,3206,ABBA,15,15.3
1,1-T-1,1,T,1,3207,ABBA,11.4,11.5
1,1-T-1,1,T,1,3208,ABBA,12.6,12.9
1,1-T-1,1,T,1,3209,ABBA,14.4,14.5
1,1-T-1,1,T,1,3210,ABBA,14.3,14.7
1,1-T-1,1,T,1,3211,ABBA,14.1,15.8
1,1-T-1,1,T,1,3212,ABBA,12.1,12.2
1,1-T-1,1,T,1,3213,ABBA,11.5,11.9
1,1-T-1,1,T,1,3214,ABBA,14.4,14.7
1,1-T-1,1,T,1,3215,ABBA,12.4,12.2
1,1-T-1,1,T,1,3216,ABBA,12,12.1
1,1-T-1,1,T,1,3217,ABBA,13.2,13.1
1,1-T-1,1,T,1,3218,ABBA,14.7,14.6
1,1-T-1,1,T,1,3219,ABBA,12.5,13.1
1,1-T-1,1,T,1,3220,PIRU,23,23.6
1,1-T-1,1,T,1,3221,ABBA,14.7,15.2
1,1-T-1,1,T,1,3222,ABBA,13,13.1
1,1-T-1,1,T,1,3223,PIRU,18.2,18.1
1,1-T-1,1,T,1,3224,ABBA,14.3,14.5
1,1-T-1,1,T,1,3225,PIRU,16.3,17.3
1,1-T-1,1,T,1,3226,PIRU,42.1,22.1
1,1-T-1,1,T,1,3227,PIRU,12.7,13.7
1,1-T-1,1,T,1,3228,ABBA,12.8,12.9
1,1-T-1,1,T,1,3229,ABBA,17,17.2
1,1-T-1,1,T,1,3230,ABBA,15.8,16
1,1-T-1,1,T,1,3231,PIRU,22.2,22.8
1,1-T-1,1,T,1,3232,PIRU,16.3,16.8
1,1-T-1,1,T,1,3233,ABBA,10.9,11.1
1,1-T-1,1,T,1,3234,ABBA,14.5,15
1,1-T-1,1,T,1,3235,ABBA,10.6,10.9
1,1-T-1,1,T,1,3236,PIRU,18.2,19.1
1,1-T-1,1,T,1,3237,PIRU,15.9,16.1
1,1-T-1,1,T,1,3238,PIRU,16.8,17.5
1,1-T-1,1,T,1,3239,PIRU,18.1,19.5
1,1-T-1,1,T,1,3240,ABBA,11.9,11.9
1,1-T-1,1,T,1,3241,PIRU,15.6,19.4
1,1-T-1,1,T,1,3242,ABBA,11,11.2
1,1-T-1,1,T,1,3243,PIRU,15.8,16.2
1,1-T-1,1,T,1,3244,ABBA,13.3,13.7
1,1-T-1,1,T,1,3245,PIRU,23.2,23.8
1,1-T-1,1,T,1,3246,PIRU,16,16.3
1,1-T-1,1,T,1,3247,ABBA,10.5,10.7
1,1-T-1,1,T,1,3248,ABBA,12.4,12.3
1,1-T-1,1,T,1,3249,ABBA,12.6,12.8
1,1-T-1,1,T,1,3250,ABBA,11,10.8
1,1-T-1,1,T,1,3251,ABBA,15,15.2
1,1-T-2,1,T,2,3100,ABBA,19.2,19.6
1,1-T-2,1,T,2,3099,ABBA,19.7,19.8
1,1-T-2,1,T,2,3098,ABBA,13.5,13.2
1,1-T-2,1,T,2,3097,ABBA,13,13.3
1,1-T-2,1,T,2,3096,PIRU,18.6,18.8
1,1-T-2,1,T,2,3095,ABBA,19.6,20
1,1-T-2,1,T,2,3094,ABBA,19.9,19.5
1,1-T-2,1,T,2,3093,ABBA,22.2,22.3
1,1-T-2,1,T,2,3092,ABBA,14,14.3
1,1-T-2,1,T,2,3091,ABBA,27.3,27.6
1,1-T-2,1,T,2,3090,ABBA,30.2,31.2
1,1-T-2,1,T,2,3089,ABBA,21.9,21.3
1,1-T-2,1,T,2,3088,ABBA,18.5,18.7
1,1-T-2,1,T,2,3087,ABBA,11.9,12.1
1,1-T-2,1,T,2,3086,PIRU,15.6,15.7
1,1-T-2,1,T,2,3085,PIRU,20.1,20
1,1-T-2,1,T,2,3084,ABBA,19.1,19.3
1,1-T-2,1,T,2,3083,ABBA,18.3,18.6
1,1-T-2,1,T,2,3082,ABBA,18.5,18.5
1,1-T-2,1,T,2,3081,ABBA,17.7,17.5
1,1-T-2,1,T,2,3080,ABBA,19.9,19.7
1,1-T-2,1,T,2,3079,ABBA,18.3,17.1
1,1-T-2,1,T,2,3400,PIRU,22.8,22.9
1,1-T-2,1,T,2,3599,ABBA,23.5,23.7
1,1-T-2,1,T,2,4000,ABBA,28.2,28.2
1,1-T-2,1,T,2,1210,ABBA,20.6,20.8
1,1-T-2,1,T,2,3194,ABBA,26.5,34.8
1,1-T-2,1,T,2,3193,ABBA,13.3,13.4
1,1-T-2,1,T,2,3192,ABBA,19.6,19.7
1,1-T-2,1,T,2,3191,ABBA,28.7,28.7
1,1-T-2,1,T,2,3182,PIRU,28.1,28.5
1,1-T-2,1,T,2,3181,ABBA,14.8,15
1,1-T-2,1,T,2,3180,ABBA,14.8,15.3
1,1-T-2,1,T,2,3179,ABBA,16.1,16
1,1-T-2,1,T,2,3178,PIRU,19.1,19.2
1,1-T-2,1,T,2,3177,ABBA,17.6,16.7
1,1-T-2,1,T,2,3176,ABBA,12.8,12.6
1,1-T-2,1,T,2,3175,ABBA,16.5,16.7
1,1-T-2,1,T,2,3174,ABBA,17.6,17.7
1,1-T-2,1,T,2,3173,ABBA,16.8,16.6
1,1-T-2,1,T,2,3201,ABBA,11.7,11.7
1,1-T-2,1,T,2,3202,PIRU,20.2,20.1
1,1-T-3,1,T,3,3252,PIRU,21.2,21
1,1-T-3,1,T,3,3253,ABBA,13,13.1
1,1-T-3,1,T,3,3254,ABBA,11.1,11.1
1,1-T-3,1,T,3,3255,LALA,12,12.1
1,1-T-3,1,T,3,3257,ABBA,13.5,13.4
1,1-T-3,1,T,3,3260,LALA,10.8,10.8
1,1-T-3,1,T,3,3261,PIRU,18.1,18.4
1,1-T-3,1,T,3,3262,ABBA,12.8,13.1
1,1-T-3,1,T,3,3263,PIRU,32.9,31.6
1,1-T-3,1,T,3,3264,PIRU,17.1,17.2
1,1-T-3,1,T,3,3265,ABBA,11.3,11.6
1,1-T-3,1,T,3,3266,PIRU,14.3,14.3
1,1-T-3,1,T,3,3268,PIRU,12.8,12.9
1,1-T-3,1,T,3,3269,PIRU,11.3,11.2
1,1-T-3,1,T,3,3270,PIRU,11.7,11.6
1,1-T-3,1,T,3,3271,PIRU,18.5,18.5
1,1-T-3,1,T,3,3272,PIRU,13.6,13.6
1,1-T-3,1,T,3,3273,PIRU,13.7,13.5
1,1-T-3,1,T,3,3274,PIRU,14.3,14.4
1,1-T-3,1,T,3,3275,PIRU,17,17
1,1-T-3,1,T,3,3276,PIRU,18.7,18.8
1,1-T-3,1,T,3,3277,PIRU,13.6,13.4
1,1-T-3,1,T,3,3278,ABBA,13.7,13.7
1,1-T-3,1,T,3,3279,ABBA,11.6,11.7
1,1-T-3,1,T,3,3280,PIRU,11.3,10.7
1,1-T-3,1,T,3,3281,ABBA,14.3,14.1
1,1-T-3,1,T,3,3282,PIRU,17.7,18.1
1,1-T-3,1,T,3,3292,ACRU,12.4,12.6
1,1-T-3,1,T,3,3295,ABBA,14,14
1,1-T-3,1,T,3,3296,ABBA,19.2,19.3
1,1-T-3,1,T,3,4001,PIRU,18.3,18
1,1-T-3,1,T,3,4003,PIRU,20.3,20.1
1,1-T-3,1,T,3,4005,ABBA,15.8,15.9
1,1-T-3,1,T,3,4006,ABBA,14.8,15.2
1,1-T-4,1,T,4,3446,ABBA,23.4,24.1
1,1-T-4,1,T,4,3447,ABBA,22.9,29.5
1,1-T-4,1,T,4,3449,ABBA,11.5,12.1
1,1-T-4,1,T,4,3450,ABBA,29.4,29.8
1,1-T-4,1,T,4,3451,ABBA,19.6,20.1
1,1-T-4,1,T,4,3453,PRPE,11.3,12
1,1-T-4,1,T,4,3454,ACRU,25.2,26.3
1,1-T-4,1,T,4,3455,ACRU,18.9,19.3
1,1-T-4,1,T,4,3456,ACRU,11.1,10.9
1,1-T-4,1,T,4,3457,ACRU,22.4,22.2
1,1-T-4,1,T,4,3458,ABBA,19.1,19.5
1,1-T-4,1,T,4,3459,ABBA,14,14.2
1,1-T-4,1,T,4,3460,ABBA,19.7,21.2
1,1-T-4,1,T,4,3461,PRSE,10.2,11
1,1-T-4,1,T,4,3462,ABBA,15.1,15.3
1,1-T-4,1,T,4,3463,ABBA,15.5,15.2
1,1-T-4,1,T,4,3464,PRSE,11.1,10.5
1,1-T-4,1,T,4,3465,ABBA,12.5,12.9
1,1-T-4,1,T,4,3466,PIRU,35.2,35.8
1,1-T-4,1,T,4,3467,ABBA,18.1,18.3
1,1-T-4,1,T,4,3469,ABBA,17.8,18.3
1,1-T-4,1,T,4,3470,ABBA,17.4,17.4
1,1-T-4,1,T,4,3471,ABBA,19.1,20
1,1-T-4,1,T,4,3472,ABBA,21.7,22
1,1-T-4,1,T,4,3473,PRSE,11,11.6
1,1-T-4,1,T,4,3474,ABBA,13.5,13.7
1,1-T-4,1,T,4,3475,ABBA,20.2,20.8
1,1-T-4,1,T,4,3476,ABBA,19.8,19.8
1,1-T-4,1,T,4,3477,PRPE,14.6,14.8
1,1-T-4,1,T,4,3478,ABBA,22.5,22.7
1,1-T-4,1,T,4,3479,ABBA,17.5,17.8
1,1-T-4,1,T,4,3480,ABBA,21.1,20.8
1,1-T-4,1,T,4,3481,ABBA,20.9,21.4
1,1-T-4,1,T,4,3482,ABBA,23.5,23.7
1,1-T-4,1,T,4,3485,ABBA,24.4,24.8
1,1-T-4,1,T,4,3486,ABBA,17.9,18.2
1,1-T-5,1,T,5,2401,ACRU,14.4,15.6
1,1-T-5,1,T,5,2402,ABBA,18,17.5
1,1-T-5,1,T,5,2404,ABBA,12.6,13
1,1-T-5,1,T,5,2405,ABBA,18.2,18.5
1,1-T-5,1,T,5,2406,ABBA,14.1,14.3
1,1-T-5,1,T,5,2407,ABBA,12.9,14.3
1,1-T-5,1,T,5,2408,ABBA,11.8,11.9
1,1-T-5,1,T,5,2409,ABBA,16.7,16.8
1,1-T-5,1,T,5,2410,POTR,23.2,24.1
1,1-T-5,1,T,5,2411,ABBA,12.7,13
1,1-T-5,1,T,5,2412,BEPA,13.4,13.5
1,1-T-5,1,T,5,2413,ACRU,29.8,14.8
1,1-T-5,1,T,5,2414,ACRU,24.7,25
1,1-T-5,1,T,5,2415,ACRU,12.2,12.6
1,1-T-5,1,T,5,2416,ABBA,16,16.2
1,1-T-5,1,T,5,2417,ABBA,11.6,12.1
1,1-T-5,1,T,5,2418,ABBA,14.6,14.7
1,1-T-5,1,T,5,2419,ABBA,12.1,12.4
1,1-T-5,1,T,5,2420,ABBA,12.8,13
1,1-T-5,1,T,5,2421,ABBA,11.6,12
1,1-T-5,1,T,5,2423,ABBA,14.2,14.3
1,1-T-5,1,T,5,2424,ABBA,21.2,21.6
1,1-T-5,1,T,5,2425,ABBA,19.5,19.8
1,1-T-5,1,T,5,2426,ABBA,12.1,12.1
1,1-T-5,1,T,5,2427,ABBA,17.6,18.2
1,1-T-5,1,T,5,2428,ABBA,10.3,10.5
1,1-T-5,1,T,5,2429,ABBA,19.6,20.3
1,1-T-5,1,T,5,2430,ABBA,13.2,13.3
1,1-T-5,1,T,5,2431,ABBA,10.3,10.5
1,1-T-5,1,T,5,2432,ABBA,12,12.4
1,1-T-5,1,T,5,2433,ABBA,15,15.7
1,1-T-5,1,T,5,2434,ABBA,12.9,13.3
