ObjectID,Plot,Species,DBH (cm) 2021
1,Plot1,LALA,12.9
2,Plot2,UNK,38
3,Plot3,ABBA,10.6
4,Plot4,ABBA,10.3
5,Plot5,ABBA,15
6,Plot6,ABBA,11.4
7,Plot7,UNK,25
8,Plot8,ABBA,12.6
9,Plot9,ABBA,14.4
10,Plot10,ABBA,14.3
11,Plot11,ABBA,14.1
12,Plot12,ABBA,12.1
13,Plot1,ABBA,11.5
14,Plot2,ABBA,14.4
15,Plot3,UNK,22.6
16,Plot4,ABBA,12.4
17,Plot5,ABBA,12
18,Plot6,ABBA,13.2
19,Plot7,UNK,20
20,Plot8,ABBA,14.7
21,Plot9,ABBA,12.5
22,Plot10,PIRU,23
23,Plot11,UNK,20
24,Plot12,ABBA,14.7
25,Plot1,ABBA,13
26,Plot2,UNK,26.5
27,Plot3,PIRU,18.2
28,Plot4,ABBA,14.3
29,Plot5,UNK,22
30,Plot6,UNK,16
31,Plot7,UNK,28
32,Plot8,PIRU,16.3
33,Plot9,UNK,31
34,Plot10,PIRU,42.1
35,Plot11,UNK,26
36,Plot12,UNK,22.5
37,Plot1,PIRU,12.7
38,Plot2,UNK,23
39,Plot3,ABBA,12.8
40,Plot4,ABBA,17
41,Plot5,UNK,36.4
42,Plot6,ABBA,15.8
43,Plot7,UNK,34
44,Plot8,PIRU,22.2
45,Plot9,PIRU,16.3
46,Plot10,ABBA,10.9
47,Plot11,UNK,31
48,Plot12,ABBA,14.5
49,Plot1,UNK,17.5
50,Plot2,ABBA,10.6
51,Plot3,UNK,26.3
52,Plot4,PIRU,18.2
53,Plot5,PIRU,15.9
54,Plot6,PIRU,16.8
55,Plot7,PIRU,18.1
56,Plot8,ABBA,11.9
57,Plot9,PIRU,15.6
58,Plot10,ABBA,11
59,Plot11,UNK,27
60,Plot12,PIRU,15.8
61,Plot1,ABBA,13.3
62,Plot2,PIRU,23.2
63,Plot3,PIRU,16
64,Plot4,ABBA,10.5
65,Plot5,UNK,19.8
66,Plot6,UNK,19
67,Plot7,ABBA,12.4
68,Plot8,ABBA,12.6
69,Plot9,ABBA,10.6
70,Plot10,ABBA,11
71,Plot11,ABBA,15
72,Plot12,ABBA,19.2
73,Plot1,UNSW,38
74,Plot2,UNSW,36.2
75,Plot3,UNSW,33.9
76,Plot4,ABBA,19.7
77,Plot5,ABBA,13.5
78,Plot6,UNSW,55
79,Plot7,ABBA,13
80,Plot8,PIRU,18.6
81,Plot9,ABBA,19.6
82,Plot10,ABBA,19.9
83,Plot11,ABBA,22.2
84,Plot12,ABBA,14
85,Plot1,ABBA,27.3
86,Plot2,ABBA,30.2
87,Plot3,ABBA,21.9
88,Plot4,ABBA,18.5
89,Plot5,ABBA,11.9
90,Plot6,UNSW,29.7
91,Plot7,PIRU,15.6
92,Plot8,PIRU,20.1
93,Plot9,ABBA,19.1
94,Plot10,ABBA,18.3
95,Plot11,ABBA,18.5
96,Plot12,UNSW,38.3
97,Plot1,ABBA,17.7
98,Plot2,ABBA,19.9
99,Plot3,ABBA,18.3
100,Plot4,PIRU,22.8
101,Plot5,ABBA,23.5
102,Plot6,ABBA,28.2
103,Plot7,ABBA,20.6
104,Plot8,ABBA,14.5
105,Plot9,BEPA,14.2
106,Plot10,BEPO,21
107,Plot11,ABBA,10.8
108,Plot12,ABBA,15
109,Plot1,ABBA,16.8
110,Plot2,ABBA,26.5
111,Plot3,ABBA,13.3
112,Plot4,ABBA,19.6
113,Plot5,ABBA,28.7
114,Plot6,ABBA,26.2
115,Plot7,ABBA,12.7
116,Plot8,ABBA,18.5
117,Plot9,ABBA,25
118,Plot10,ABBA,17.9
119,Plot11,ABBA,12.8
120,Plot12,ABBA,20
121,Plot1,ABBA,19
122,Plot2,ABBA,19.8
123,Plot3,PIRU,28.1
124,Plot4,ABBA,14.8
125,Plot5,ABBA,10.5
126,Plot6,ABBA,14.8
